Region, Date,UnemploymentRate
Andhra Pradesh,2019-05-31,3.65
Telangana,2019-05-31,2.23
Tamil Nadu,2019-05-31,0.97
Rajasthan,2019-05-31,4.03
Punjab,2019-05-31,9.17
Tamil Nadu,2019-05-31,0.89
Puducherry,2019-05-31,0.0
Odisha,2019-05-31,4.17
Meghalaya,2019-05-31,3.16
Telangana,2019-05-31,1.52
Maharashtra,2019-05-31,3.67
Madhya Pradesh,2019-05-31,3.63
Kerala,2019-05-31,6.63
Tripura,2019-05-31,34.69
Karnataka,2019-05-31,5.46
Jharkhand,2019-05-31,7.11
Jammu & Kashmir,2019-05-31,12.78
Uttar Pradesh,2019-05-31,14.4
Himachal Pradesh,2019-05-31,13.68
Haryana,2019-05-31,14.54
Uttarakhand,2019-05-31,9.17
Gujarat,2019-05-31,2.88
Tripura,2019-05-31,29.25
Goa,2019-05-31,2.91
Rajasthan,2019-05-31,13.62
Uttarakhand,2019-05-31,1.63
Madhya Pradesh,2019-05-31,3.91
Kerala,2019-05-31,6.11
Karnataka,2019-05-31,6.56
Maharashtra,2019-05-31,6.08
Jharkhand,2019-05-31,17.23
Jammu & Kashmir,2019-05-31,23.04
Himachal Pradesh,2019-05-31,10.88
Meghalaya,2019-05-31,8.4
Haryana,2019-05-31,24.67
Gujarat,2019-05-31,4.09
Goa,2019-05-31,2.75
Odisha,2019-05-31,2.95
Delhi,2019-05-31,12.31
Chhattisgarh,2019-05-31,9.77
Chandigarh,2019-05-31,18.35
Puducherry,2019-05-31,1.25
Bihar,2019-05-31,19.9
Assam,2019-05-31,7.87
Andhra Pradesh,2019-05-31,6.09
Punjab,2019-05-31,13.49
West Bengal,2019-05-31,6.02
Uttar Pradesh,2019-05-31,10.26
Delhi,2019-05-31,12.56
Sikkim,2019-05-31,8.2
West Bengal,2019-05-31,7.25
Chhattisgarh,2019-05-31,9.82
Bihar,2019-05-31,9.27
Assam,2019-05-31,4.29
Assam,2019-06-30,9.89
Uttar Pradesh,2019-06-30,11.13
Odisha,2019-06-30,4.71
Haryana,2019-06-30,23.08
Uttarakhand,2019-06-30,4.65
Meghalaya,2019-06-30,4.23
West Bengal,2019-06-30,5.85
Telangana,2019-06-30,1.43
Punjab,2019-06-30,13.17
Andhra Pradesh,2019-06-30,3.8
Jharkhand,2019-06-30,20.51
Rajasthan,2019-06-30,14.36
Karnataka,2019-06-30,5.98
Tripura,2019-06-30,26.64
Puducherry,2019-06-30,0.0
Telangana,2019-06-30,5.92
Maharashtra,2019-06-30,6.46
Tamil Nadu,2019-06-30,0.92
Himachal Pradesh,2019-06-30,11.43
Bihar,2019-06-30,10.2
Madhya Pradesh,2019-06-30,6.38
Sikkim,2019-06-30,7.76
Karnataka,2019-06-30,5.0
Jammu & Kashmir,2019-06-30,12.09
Rajasthan,2019-06-30,13.7
Chhattisgarh,2019-06-30,6.76
Tamil Nadu,2019-06-30,1.56
Uttar Pradesh,2019-06-30,11.62
Jharkhand,2019-06-30,8.46
Punjab,2019-06-30,12.21
Gujarat,2019-06-30,4.77
Goa,2019-06-30,13.33
Jammu & Kashmir,2019-06-30,19.88
Kerala,2019-06-30,9.0
Odisha,2019-06-30,2.63
Haryana,2019-06-30,20.42
Tripura,2019-06-30,25.59
Delhi,2019-06-30,12.76
Kerala,2019-06-30,6.67
Goa,2019-06-30,5.45
